,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,ChgOffPrinGr,GrAppv,SBA_Appv,ChgOffHist,MIS_Status
201032,2418405000,Sparrow Clothing,Carlsbad,CA,92011,UMPQUA BANK,OR,454111,26-Apr-07,2007,84,1,2.0,0,1,0,1,N,N,19-Jul-10,31-May-07,"$25,000.00 ",$0.00 ,"$21,983.00 ","$25,000.00 ","$21,250.00 ",False,CHGOFF
612626,6088924001,Dilbeck Manufacturing Inc.,TULSA,OK,74116,COMMUNITY BANK & TRUST COMPANY,OK,332710,10-Feb-03,2003,40,6,1.0,0,0,1,1,N,N,,31-Mar-03,"$300,000.00 ",$0.00 ,$0.00 ,"$300,000.00 ","$225,000.00 ",False,P I F
40680,1315085003,M & S Livery Corp.,BRONX,NY,10453,BANK OF AMERICA NATL ASSOC,NC,485999,25-May-05,2005,60,1,1.0,0,1,1,1,Y,N,,30-Jun-05,"$11,187.00 ",$0.00 ,$0.00 ,"$10,000.00 ","$5,000.00 ",False,P I F
281724,2951865007,"Amia Solutions, LLC",Minneapolis,MN,55405,ANCHOR BANK NATL ASSOC,MN,541512,12-Feb-08,2008,3,3,1.0,0,0,0,1,N,N,,29-Feb-08,"$70,000.00 ",$0.00 ,$0.00 ,"$70,000.00 ","$59,500.00 ",False,P I F
159651,2156774009,NATURE'S CORNER,LAWTON,OK,73505,LIBERTY NATIONAL BANK,OK,0,24-Jun-98,1998,71,3,2.0,0,0,1,0,0,Y,26-Feb-01,28-Feb-99,"$32,000.00 ",$0.00 ,"$21,826.00 ","$32,000.00 ","$25,600.00 ",False,CHGOFF
742056,7717373004,"HILLS VALLEY FOOD'S, INC. (HVF",BATESVILLE,AR,72501,BANK OF AMERICA NATL ASSOC,AR,311512,27-Oct-94,1995,163,70,1.0,0,0,1,0,N,N,6-Dec-02,31-Jan-95,"$1,330,000.00 ",$0.00 ,"$690,381.00 ","$1,330,000.00 ","$748,790.00 ",False,CHGOFF
656502,6617544001,FAMILY HEALTH CENTER OF GREATE,CASSELBERRY,FL,32707,BANCO POPULAR NORTH AMERICA,NY,621111,22-Aug-03,2003,114,18,1.0,0,18,1,1,0,N,,31-Aug-03,"$350,000.00 ",$0.00 ,$0.00 ,"$350,000.00 ","$262,500.00 ",False,P I F
428885,4149573002,SALAD GALLEY,TOLEDO,OH,43612,THE HUNTINGTON NATIONAL BANK,OH,0,25-Jun-90,1990,57,8,2.0,0,0,1,0,N,N,,31-Jul-90,"$70,000.00 ",$0.00 ,$0.00 ,"$70,000.00 ","$56,000.00 ",False,P I F
744470,7747464004,KEARNS TOWING,WEST VALLEY,UT,84119,CELTIC BANK CORPORATION,UT,488410,31-Aug-04,2004,100,23,1.0,0,0,1,1,N,N,,31-Oct-04,"$1,541,000.00 ",$0.00 ,$0.00 ,"$1,541,000.00 ","$1,155,750.00 ",False,P I F
891952,9847314001,CHU PARK LLC,ANNAPOLIS,MD,21402,"PNC BANK, NATIONAL ASSOCIATION",DE,315999,2-Feb-06,2006,79,1,1.0,0,1,1,1,Y,N,19-Dec-07,30-Jun-06,"$25,000.00 ",$0.00 ,"$25,000.00 ","$25,000.00 ","$12,500.00 ",False,CHGOFF
274504,2909366002,HARVEY PLUMBING,PASO ROBLES (CORPORATE NAME EL,CA,93446,HERITAGE OAKS BANK,CA,238220,23-Jul-07,2007,56,5,1.0,0,5,1,2,Y,N,,31-Aug-07,"$105,737.00 ",$0.00 ,$0.00 ,"$50,000.00 ","$25,000.00 ",False,P I F
447742,4344514008,FREEMAN FEED AND FERTILIZER,MOUNT PLEASANT,TX,75455,"FIRST WESTERN SBLC, INC",TX,422910,1-Mar-01,2001,215,4,1.0,0,4,1,1,0,N,4-Aug-08,30-Apr-01,"$333,000.00 ",$0.00 ,"$60,410.00 ","$333,000.00 ","$249,750.00 ",False,CHGOFF
414682,4007373006,"HIGHWAY 111 TRUCK STOP, INC.",EL CENTRO,CA,92243,GE CAP. SMALL BUS. FINAN CORP,TX,0,30-Mar-90,1990,176,3,1.0,0,0,1,0,N,N,,30-Apr-90,"$1,100,000.00 ",$0.00 ,$0.00 ,"$1,100,000.00 ","$749,100.00 ",False,P I F
478270,4605134000,RELIABLE RENTAL,WINNSBORO,TX,75494,"TRIUMPH SAVINGS BANK, SSB",TX,532490,26-Jun-01,2001,280,2,2.0,0,0,1,1,0,Y,6-Jun-08,31-Jul-01,"$55,000.00 ",$0.00 ,"$36,877.00 ","$55,000.00 ","$46,750.00 ",True,CHGOFF
832017,8932424010,"CARSON-BROWN GROUP, INC.",GARY,IN,46404,PEOPLES BANK SB,IN,441110,16-Jun-05,2005,6,2,2.0,0,0,1,1,Y,N,,31-Aug-05,"$127,000.00 ",$0.00 ,$0.00 ,"$127,000.00 ","$95,250.00 ",False,P I F
247394,2743176003,NEW TULLY'S IRISH PUB & RESTAU,L,KS,66536,KAW VALLEY ST. BK & TR CO,KS,722110,4-Apr-07,2007,209,8,2.0,8,0,1,2,0,N,11-May-10,30-Jun-07,"$149,000.00 ",$0.00 ,"$78,063.00 ","$149,000.00 ","$126,650.00 ",False,CHGOFF
311722,3150146004,ALLEGRA PRINTING NETWORK,KNOXVILLE,TN,37923,COMMERCIAL BANK,TN,323110,1-Feb-08,2008,118,9,1.0,0,9,2932,1,0,N,21-Oct-10,30-Jun-08,"$350,000.00 ",$0.00 ,"$127,665.00 ","$350,000.00 ","$175,000.00 ",False,CHGOFF
73892,1554695006,"Caddie-N-Cages, Inc.",ALLIANCE,OH,44601,"PNC BANK, NATIONAL ASSOCIATION",DE,713990,28-Nov-05,2006,132,11,1.0,0,10,0,1,N,N,11-Jun-10,31-Dec-05,"$150,000.00 ",$0.00 ,"$75,457.00 ","$150,000.00 ","$75,000.00 ",False,CHGOFF
326318,3259463000,"BYRGE BUILDING SUPPLIES, INC.",EAST PRAIRIE,MO,63845,FOCUS BANK,MO,0,29-Jun-88,1988,77,2,1.0,0,0,0,0,N,N,7-May-90,7-Jul-88,"$85,000.00 ",$0.00 ,"$70,822.00 ","$85,000.00 ","$59,500.00 ",False,CHGOFF
353678,3463125003,"BORTEC, INC.",ELDRIDGE,IA,52748,FIRST CENTRAL STATE BANK,IA,237990,12-Jun-09,2009,80,3,1.0,0,3,0,2,N,N,,30-Jun-09,"$128,200.00 ",$0.00 ,$0.00 ,"$128,200.00 ","$115,380.00 ",False,P I F
775062,8192381005,MASTER SPRAYERS INC.,S. EL MONTE,CA,91733,CITIZENS BUSINESS BANK,CA,0,13-Oct-76,1977,138,10,1.0,0,0,0,0,N,N,31-Jan-90,12-Nov-76,"$88,000.00 ",$0.00 ,"$26,671.00 ","$88,000.00 ","$79,200.00 ",False,CHGOFF
376494,3641754001,JUKEBOX SWANNY'S,SPENCER,IA,51301,COMMUNITY STATE BANK,IA,453220,17-Mar-00,2000,100,5,2.0,0,0,1,1,0,Y,26-Aug-02,30-Sep-00,"$110,000.00 ",$0.00 ,"$65,594.00 ","$110,000.00 ","$82,500.00 ",False,CHGOFF
272631,2898423001,PORTIA J BELL DDS INC,COLUMUS,OH,43219,JPMORGAN CHASE BANK NATL ASSOC,IL,621210,28-Apr-87,1987,239,2,2.0,0,0,0,0,N,N,6-Jun-07,4-Jun-87,"$70,000.00 ",$0.00 ,"$1,837.00 ","$70,000.00 ","$63,000.00 ",False,CHGOFF
492081,4749623008,"VALLEY GRADING COMPANY, INC.",TRUSSVILLE,AL,35173,COMPASS BANK,AL,234110,6-Mar-92,1992,53,27,1.0,0,0,1,0,N,N,,30-Apr-92,"$350,000.00 ",$0.00 ,$0.00 ,"$350,000.00 ","$283,500.00 ",False,P I F
113427,1829976003,"VIDEO HOME ONE, INC.",INDIANAPOLIS,IN,46219,BMO HARRIS BK NATL ASSOC,IL,532230,24-Apr-06,2006,46,23,1.0,0,0,1,1,N,N,,31-Mar-07,"$357,875.00 ",$0.00 ,$0.00 ,"$357,875.00 ","$268,406.00 ",False,P I F
572611,5647214003,LAWN DOCTOR,RAPID CITY,SD,57702,GREAT WESTERN BANK,SD,561730,27-Aug-02,2002,64,1,2.0,0,0,47210,1,0,Y,9-Apr-07,31-Oct-02,"$84,300.00 ",$0.00 ,"$70,669.00 ","$84,300.00 ","$71,655.00 ",True,CHGOFF
898760,9987343005,FAB-TEC INC,GASTONIA,NC,28053,COMMUNITYONE BANK NATL ASSOC,NC,333512,25-Feb-97,1997,17,4,2.0,0,0,1,0,N,N,,30-Sep-98,"$50,000.00 ",$0.00 ,$0.00 ,"$50,000.00 ","$40,000.00 ",False,P I F
424906,4108354006,ROSHNI INC,GLEN BURNIE,MD,21061,BANK OF AMERICA NATL ASSOC,NC,447110,5-Dec-00,2001,24,18,1.0,0,18,1,1,Y,N,,30-Jun-01,"$100,000.00 ",$0.00 ,$0.00 ,"$100,000.00 ","$50,000.00 ",False,P I F
550338,5404554006,COOK'S CORNER INC,MANITOWOC,WI,54220,INVESTORS COMMUNITY BANK,WI,442299,17-May-02,2002,42,30,1.0,0,30,1,1,Y,N,,31-Oct-02,"$68,290.00 ",$0.00 ,$0.00 ,"$50,000.00 ","$25,000.00 ",False,P I F
726697,7562053007,WALLACE WOODALL VACUUM PUMPING,APEX,NC,27502,BRANCH BK. & TR CO,NC,0,9-Sep-94,1994,55,16,1.0,0,0,1,0,N,N,,31-Oct-94,"$388,000.00 ",$0.00 ,$0.00 ,"$388,000.00 ","$315,832.00 ",False,P I F
433066,4195053000,JACK IN THE BOX,WEST SACRAMENTO,CA,95691,WELLS FARGO BANK NATL ASSOC,SD,0,31-Jul-90,1990,208,40,2.0,0,0,42530,0,N,N,31-Jul-96,31-Oct-90,"$695,000.00 ",$0.00 ,"$668,101.00 ","$695,000.00 ","$556,000.00 ",False,CHGOFF
727685,7571193005,GREAT AMERICAN GUNSTOCK CO.,YUBA CITY,CA,95993,UMPQUA BANK,CA,0,13-Sep-94,1994,53,6,1.0,0,0,1,0,N,Y,,31-Oct-94,"$30,000.00 ",$0.00 ,$0.00 ,"$30,000.00 ","$27,000.00 ",False,P I F
119252,1870934001,HIGHLAND QUICK STOP LLC,COWICHE,WA,98932,WELLS FARGO BANK NATL ASSOC,SD,0,26-Feb-98,1998,245,1,2.0,0,0,1,0,0,N,6-Sep-06,30-Jun-98,"$1,005,000.00 ",$0.00 ,"$203,763.00 ","$1,005,000.00 ","$749,991.00 ",False,CHGOFF
534374,5218874004,CELEBRATIONS CATERING CO INC,LOUISVILLE,KY,40203,"METRO BANK, INC.",KY,722320,16-Feb-02,2002,84,7,1.0,0,7,1,0,0,N,21-May-04,28-Feb-02,"$40,000.00 ",$0.00 ,"$34,544.00 ","$40,000.00 ","$34,000.00 ",False,CHGOFF
877842,9509954002,ONO TERIYAKI,RENTON,WA,98055,HANMI BANK,CA,722211,23-Dec-05,2006,90,3,1.0,0,3,1,1,0,N,,31-Dec-05,"$140,000.00 ",$0.00 ,$0.00 ,"$140,000.00 ","$119,000.00 ",False,P I F
631027,6269124007,Asimacopoulos LLC,FREDERICKSBURG,VA,22407,"READYCAP LENDING, LLC",CA,621310,24-Apr-03,2003,24,7,1.0,0,7,1,1,0,N,26-Mar-14,31-May-03,"$795,000.00 ",$0.00 ,"$269,813.00 ","$795,000.00 ","$596,250.00 ",False,CHGOFF
469483,4533583010,CENTRAL SIERRA FOREST PRODUCTS,WEST POINT,CA,95255,BANK OF AGRICULTURE & COMMERCE,CA,0,25-Jul-91,1991,35,8,1.0,0,0,1,0,N,N,,30-Apr-92,"$172,000.00 ",$0.00 ,$0.00 ,"$172,000.00 ","$146,200.00 ",False,P I F
673420,6886143001,RAINBOW MARINE CONTRACTORS INC,HOUMA,LA,70361,CAPITAL ONE NATL ASSOC,LA,488330,18-May-94,1994,146,15,1.0,0,0,1,0,N,N,,31-Oct-94,"$848,000.00 ",$0.00 ,$0.00 ,"$848,000.00 ","$593,600.00 ",False,P I F
650864,6530404002,ZISKA CONSTRUCTION INC,WHEAT RIDGE,CO,80033,WELLS FARGO BANK NATL ASSOC,CO,235990,25-Jul-03,2003,45,2,1.0,0,2,1,1,Y,N,,31-Aug-03,"$387,750.00 ",$0.00 ,$0.00 ,"$200,000.00 ","$100,000.00 ",False,P I F
29162,1219452008,TRAILBLAZER/REST/MOTEL/& RV PK,HUGO,CO,80821,VECTRA BK COLORADO NATL ASSOC,CO,0,15-Dec-78,1979,120,5,1.0,0,0,0,0,N,N,6-Feb-89,8-Jan-79,"$67,000.00 ",$0.00 ,$0.00 ,"$77,000.00 ","$69,300.00 ",False,CHGOFF
269052,2877073004,DOHERTY-BARNEY & ASSOCIATES,AUSTIN,TX,78723,"BEAL BANK, SSB",TX,541810,23-Mar-87,1987,58,2,1.0,0,0,0,0,N,N,17-May-90,22-Apr-87,"$30,000.00 ",$0.00 ,"$25,191.00 ","$30,000.00 ","$27,000.00 ",False,CHGOFF
741480,7710753008,COREY BROTHERS BAKERY,HOBART,IN,46342,GREAT LAKES BANK NATL ASSOC,IL,0,26-Oct-94,1995,113,50,1.0,0,0,1,0,N,N,14-Aug-06,31-Jan-95,"$675,000.00 ",$0.00 ,"$411,657.00 ","$675,000.00 ","$506,250.00 ",False,CHGOFF
293896,3034454003,DAVE SPENCER TRUCKING,EUGENE,OR,97401,PACIFIC CONTINENTAL BANK,OR,484121,25-Jun-99,1999,72,1,1.0,1,1,1,1,0,N,29-Jul-03,30-Jun-99,"$65,000.00 ",$0.00 ,"$43,066.00 ","$65,000.00 ","$52,000.00 ",False,CHGOFF
207777,2465875004,"Francis Paiva, Jr. dba Paiva H",HALIFAX,MA,2338,SANTANDER BANK NATL ASSOC,DE,238220,21-May-07,2007,56,1,1.0,0,1,0,1,N,N,,31-Jul-07,"$25,000.00 ",$0.00 ,$0.00 ,"$25,000.00 ","$12,500.00 ",False,P I F
338180,3359253004,STANRAIL CORPORATION,HAMMOND,IN,46323,BEVERLY BK & TR COMPANY NATL A,IL,0,4-Jan-89,1989,51,11,1.0,0,0,0,0,N,N,,30-Apr-89,"$260,000.00 ",$0.00 ,$0.00 ,"$260,000.00 ","$221,000.00 ",False,P I F
669891,6822484006,"BYSONS TRUCK & AUTO, INC.",CASNOVIA,MI,49318,MICHIGAN COMMERCE BANK,MI,811111,22-Oct-03,2004,92,9,1.0,0,0,1,1,0,Y,7-Dec-07,31-Jan-04,"$150,000.00 ",$0.00 ,"$132,346.00 ","$150,000.00 ","$127,500.00 ",False,CHGOFF
198840,2402434008,THERMAL CORP.,SELMER,TN,38375,TENNESSEE BUS. & INDUST DEVEL,TN,332811,22-Oct-98,1999,0,20,1.0,0,0,1,0,N,N,10-Dec-08,31-Oct-98,"$450,000.00 ",$0.00 ,"$64,051.00 ","$450,000.00 ","$337,500.00 ",False,CHGOFF
620256,6163524000,"TALENTI LTD & PORTENO,LC",DALLAS,TX,75219,COMPASS BANK,AL,722211,11-Mar-03,2003,64,1,2.0,10,1,1,1,0,N,,31-Mar-03,"$102,500.00 ",$0.00 ,$0.00 ,"$102,500.00 ","$87,125.00 ",False,P I F
225544,2594564005,A J'S CONVENIENCE STORE INC,WILLIS,TX,77378,U.S. BANK NATIONAL ASSOCIATION,OH,0,11-Dec-98,1999,242,4,1.0,0,0,1,0,0,N,27-Jun-06,31-Jan-99,"$196,000.00 ",$0.00 ,"$60,358.00 ","$196,000.00 ","$147,000.00 ",False,CHGOFF
495570,4789414005,"INTEGRITY LOSS PREVENTION, INC",DULUTH,MN,55808,PARK STATE BANK,MN,561621,8-Aug-01,2001,36,29,1.0,0,0,1,1,0,Y,10-Oct-03,31-Aug-01,"$50,000.00 ",$0.00 ,"$44,325.00 ","$50,000.00 ","$42,500.00 ",False,CHGOFF
66306,1500495010,ACCLAIM PACKING & ASSEMBLY COR,LA GRANGE PARK,IL,60526,CITIZENS BANK NATL ASSOC,RI,561910,17-Oct-05,2006,47,1,2.0,0,1,0,2,Y,N,,31-Oct-05,"$198,000.00 ",$0.00 ,$0.00 ,"$100,000.00 ","$50,000.00 ",False,P I F
870775,9400984007,B52 RESTAURANT,VENTNOR CITY (VENTOR),NJ,8405,"PNC BANK, NATIONAL ASSOCIATION",DE,722110,8-Dec-05,2006,0,3,2.0,0,3,1,1,Y,N,9-Mar-08,31-Jan-06,"$25,000.00 ",$0.00 ,"$24,931.00 ","$25,000.00 ","$12,500.00 ",False,CHGOFF
603924,5992854008,TAYLOR DAVIS LANDSCAPE COMPANY,AMHERST (CENSUS NAME FOR AMHER,MA,1002,BANK OF WESTERN MASSACHUSETTS,MA,561730,6-Jan-03,2003,76,38,1.0,1,38,1,1,0,N,,31-Jan-03,"$325,800.00 ",$0.00 ,$0.00 ,"$325,800.00 ","$244,350.00 ",False,P I F
144263,2053895003,McDougall Rental's LLC,ALTOONA,WI,54720,CHARTER BANK EAU CLAIRE,WI,811121,3-Oct-06,2007,262,2,2.0,0,2,0,2,N,N,12-Jun-10,30-Nov-06,"$320,000.00 ",$0.00 ,"$149,988.00 ","$320,000.00 ","$160,000.00 ",False,CHGOFF
240129,2695105002,"The Mountaintop Club, Inc.",Kalamazoo,MI,49009,FIFTH THIRD BANK,OH,624120,12-Sep-07,2007,125,0,2.0,4,0,0,1,N,N,31-Jul-12,31-Oct-07,"$80,000.00 ",$0.00 ,"$71,637.00 ","$80,000.00 ","$40,000.00 ",False,CHGOFF
41338,1321065004,Extra Time Enterprises,WINDHAM,NH,3087,BANK OF AMERICA NATL ASSOC,NC,424410,2-Jun-05,2005,65,1,2.0,0,1,1,1,Y,N,,31-Dec-06,"$399,340.00 ",$0.00 ,$0.00 ,"$100,000.00 ","$50,000.00 ",False,P I F
871168,9406243002,THE GARDEN RESTAURANT,SANDPOINT,ID,83864,"READYCAP LENDING, LLC",CA,0,17-Jul-96,1996,263,30,1.0,0,0,1,0,0,N,7-Jul-08,31-Jan-97,"$412,000.00 ",$0.00 ,"$125,908.00 ","$452,000.00 ","$339,000.00 ",False,CHGOFF
875691,9470743004,"GRUDEM CHIROPRACTIC, P.C.",RUGBY,ND,58368,BREMER BANK NATL ASSOC,ND,621310,20-Aug-96,1996,73,3,1.0,0,0,1,0,N,Y,25-Apr-01,31-Mar-97,"$100,000.00 ",$0.00 ,"$71,245.00 ","$100,000.00 ","$80,000.00 ",False,CHGOFF
336448,3345893007,FLOYD LOUIS WILLIAMS,HAMILTON,GA,31911,BUS. DEVEL CORP - GEORGIA I,GA,113310,1-Dec-88,1989,142,2,1.0,0,0,0,0,N,N,2-Nov-11,30-Apr-89,"$298,000.00 ",$0.00 ,"$73,726.00 ","$298,000.00 ","$244,360.00 ",False,CHGOFF
78597,1587725009,Fidas Mini Market,HARTFORD,CT,6106,BANK OF AMERICA NATL ASSOC,NC,445110,20-Dec-05,2006,48,6,2.0,0,6,0,1,N,N,,31-Dec-05,"$10,000.00 ",$0.00 ,$0.00 ,"$10,000.00 ","$5,000.00 ",False,P I F
538632,5273063004,"BEST COMPUTERS, INC.",MCALLEN,TX,78501,FROST BANK,TX,443120,4-Nov-92,1993,107,16,1.0,0,0,1,0,N,N,25-Aug-94,31-Jan-93,"$407,000.00 ",$0.00 ,"$370,673.00 ","$407,000.00 ","$329,670.00 ",False,CHGOFF
579746,5729954006,PETLAND,MANSFILED,OH,44906,FIRST FEDERAL BANK OF OHIO,OH,453910,26-Sep-02,2002,85,2,2.0,0,0,63810,1,N,N,31-Jan-07,28-Feb-03,"$426,956.00 ",$0.00 ,"$329,094.00 ","$426,956.00 ","$320,217.00 ",True,CHGOFF
274310,2908123010,PISTOL PETE'S PIZZA,PHOENIX,AZ,85018,JPMORGAN CHASE BANK NATL ASSOC,AZ,0,15-May-87,1987,96,4000,2.0,0,0,64862,0,N,N,14-Jul-90,23-Sep-87,"$310,000.00 ",$0.00 ,"$291,862.00 ","$310,000.00 ","$232,500.00 ",False,CHGOFF
455590,4412264008,CHANNELL CONSTRUCTION COMPANY,OMAHA,NE,68110,U.S. BANK NATIONAL ASSOCIATION,OH,233320,30-Mar-01,2001,244,65,1.0,19,46,1,1,0,N,5-Oct-11,31-Oct-01,"$947,900.00 ",$0.00 ,"$48,803.00 ","$1,200,000.00 ","$896,448.00 ",False,CHGOFF
289762,3006953007,"VFI OF KS.,INC&VALUE FURN INTE",EMPORIA,KS,66801,BANK OF AMERICA NATL ASSOC,NC,337214,8-Oct-87,1988,75,45,1.0,0,0,0,0,N,N,26-Apr-91,27-Oct-87,"$50,000.00 ",$0.00 ,"$50,000.00 ","$50,000.00 ","$42,500.00 ",False,CHGOFF
260962,2828074004,SHAMROCK UTILITY RESTORATION,WEST CHICAGO,IL,60185,URBAN PARTNERSHIP BANK,IL,561730,10-Mar-99,1999,12,9,1.0,0,0,1,0,N,N,15-Sep-09,30-Sep-99,"$350,000.00 ",$0.00 ,"$237,689.00 ","$350,000.00 ","$262,500.00 ",False,CHGOFF
107404,1787784003,COOKS FITNESS CENTER,LOUISA,KY,41230,PEOPLES SECURITY BANK,KY,713940,16-Jan-98,1998,103,2,1.0,0,0,1,0,0,Y,12-Jun-02,31-Aug-99,"$28,000.00 ",$0.00 ,"$18,415.00 ","$28,000.00 ","$22,400.00 ",False,CHGOFF
138466,2010995009,Signature Homes,HOLLY RIDGE,NC,28445,BANK OF AMERICA NATL ASSOC,NC,236115,11-Sep-06,2006,48,3,1.0,0,3,0,1,T,N,13-Nov-09,30-Sep-06,"$35,000.00 ",$0.00 ,"$35,000.00 ","$35,000.00 ","$17,500.00 ",False,CHGOFF
14657,1106294004,"TOLLE, INC.",FLOWER MOUND,TX,75028,COMPASS BANK,TX,0,8-Apr-97,1997,0,2,1.0,0,0,1,0,N,Y,14-Jul-06,30-Jun-97,"$100,000.00 ",$0.00 ,"$29,518.00 ","$100,000.00 ","$80,000.00 ",False,CHGOFF
611439,6076154009,SUNSHINE DONUTS CORPORATION,MIAMI,FL,33135,SABADELL UNITED BANK NATL ASSO,FL,311811,5-Feb-03,2003,0,2,2.0,0,0,1,1,N,N,22-May-09,30-Apr-03,"$31,000.00 ",$0.00 ,"$14,667.00 ","$31,000.00 ","$26,350.00 ",False,CHGOFF
